  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
    58,   P-31856,   2022/11/01 22:52:48,           1-11,       4,        -3.806,        -9.709,       -79.376,         1.338,         21418,       0,    1,   W-81925 / NLGQLH_1_14_0 / 208 / 808 /,                               WICO 01 B,                 H2O, 1667368643.48,         0.195,         0.197,         0.372,         0.139,       150.006,         0.002,         0.003,         2.373,        78.042,        26.873,         0.983,        71.506,         1.164,        -0.988,       -0.0000,        0.0000,    0,        41.438,         1,      11,       2,Picarro IAEA,       0,       1
    59,   P-31856,   2022/11/01 23:01:50,           1-11,       5,        -3.823,        -9.719,       -79.351,         1.326,         21356,       0,    1,   W-81925 / NLGQLH_1_14_0 / 208 / 808 /,                               WICO 01 B,                 H2O, 1667369185.89,         0.191,         0.181,         0.357,         0.150,       150.364,         0.001,         0.003,         2.382,        77.707,        26.729,         0.985,        72.014,         1.165,        -0.868,       -0.0000,       -0.0000,    0,        41.438,         1,      11,       2,Picarro IAEA,       0,       1
    60,   P-31856,   2022/11/01 23:10:53,           1-11,       6,        -3.818,        -9.718,       -79.412,         1.331,         21404,       0,    1,   W-81925 / NLGQLH_1_14_0 / 208 / 808 /,                               WICO 01 B,                 H2O, 1667369728.02,         0.221,         0.210,         0.347,         0.151,       148.608,         0.002,         0.002,         2.360,        77.880,        26.927,         0.984,        71.943,         1.163,        -0.832,        0.0000,       -0.0000,    0,        41.500,         1,      11,       2,Picarro IAEA,       0,       1
    61,   P-31857,   2022/11/01 23:19:54,           1-12,       1,        -9.867,       -20.930,      -164.938,         1.253,         21523,      -1,    1,   W-81927 / NLGQLH_1_15_0 / 208 / 808 /,                               WICO 03 B,                 H2O, 1667370269.34,         0.187,         0.202,         0.430,         0.131,       150.217,         0.002,         0.005,         2.372,        78.323,        27.503,         0.971,        70.921,         1.163,        -0.801,       -0.0000,        0.0000,    0,        41.438,         1,      12,       2,Picarro IAEA,       0,       1
    62,   P-31857,   2022/11/01 23:28:57,           1-12,       2,       -10.063,       -21.306,      -171.417,         1.257,         21538,      -1,    1,   W-81927 / NLGQLH_1_15_0 / 208 / 808 /,                               WICO 03 B,                 H2O, 1667370812.05,         0.201,         0.209,         0.532,         0.140,       150.181,         0.002,         0.007,         2.382,        78.409,        27.528,         0.970,        70.913,         1.166,        -0.806,       -0.0000,       -0.0000,    0,        41.500,         1,      12,       2,Picarro IAEA,       0,       1
    63,   P-31857,   2022/11/01 23:37:59,           1-12,       3,       -10.081,       -21.339,      -172.496,         1.256,         21428,      -1,    1,   W-81927 / NLGQLH_1_15_0 / 208 / 808 /,                               WICO 03 B,                 H2O, 1667371354.94,         0.184,         0.195,         0.539,         0.130,       147.871,         0.002,         0.007,         2.357,        77.945,        27.454,         0.961,        70.351,         1.166,        -0.824,        0.0000,        0.0000,    0,        41.562,         1,      12,       2,Picarro IAEA,       0,       1
    64,   P-31857,   2022/11/01 23:47:01,           1-12,       4,       -10.111,       -21.390,      -172.913,         1.254,         21442,       0,    1,   W-81927 / NLGQLH_1_15_0 / 208 / 808 /,                               WICO 03 B,                 H2O, 1667371896.25,         0.204,         0.195,         0.466,         0.145,       151.034,         0.002,         0.006,         2.387,        77.958,        27.538,         0.963,        70.364,         1.166,        -0.815,        0.0000,        0.0000,    0,        41.500,         1,      12,       2,Picarro IAEA,       0,       1
    65,   P-31857,   2022/11/01 23:56:04,           1-12,       5,       -10.131,       -21.429,      -173.174,         1.255,         21438,       0,    1,   W-81927 / NLGQLH_1_15_0 / 208 / 808 /,                               WICO 03 B,                 H2O, 1667372438.66,         0.179,         0.206,         0.459,         0.132,       149.755,         0.002,         0.005,         2.372,        77.899,        27.488,         0.971,        70.719,         1.163,        -0.790,       -0.0000,       -0.0000,    0,        41.500,         1,      12,       2,Picarro IAEA,       0,       1
    66,   P-31857,   2022/11/02 00:05:06,           1-12,       6,       -10.136,       -21.425,      -173.366,         1.247,         21424,       0,    1,   W-81927 / NLGQLH_1_15_0 / 208 / 808 /,                               WICO 03 B,                 H2O, 1667372981.82,         0.214,         0.185,         0.406,         0.152,       146.908,         0.002,         0.004,         2.341,        77.911,        27.302,         0.973,        70.821,         1.165,        -0.838,       -0.0000,        0.0000,    0,        41.562,         1,      12,       2,Picarro IAEA,       0,       1
    67,   P-31858,   2022/11/02 00:14:08,           1-13,       1,         0.448,        -1.689,       -24.682,         1.341,         21671,      -1,    1,     W-100 / NLGQLH_1_16_0 / 208 / 808 /,                          USGS45 Control,                 H2O, 1667373524.07,         0.193,         0.177,         0.435,         0.142,       151.904,         0.001,        -0.001,         2.397,        79.081,        26.813,         1.011,        73.810,         1.165,        -0.983,        0.0000,        0.0000,    0,        41.562,         1,      13,       2,Picarro IAEA,       0,       1
    68,   P-31858,   2022/11/02 00:23:11,           1-13,       2,         0.825,        -0.966,       -13.617,         1.335,         21543,      -1,    1,     W-100 / NLGQLH_1_16_0 / 208 / 808 /,                          USGS45 Control,                 H2O, 1667374066.30,         0.205,         0.179,         0.410,         0.151,       150.841,         0.001,        -0.004,         2.395,        78.504,        26.856,         0.998,        73.077,         1.167,        -0.886,       -0.0000,        0.0000,    0,        41.562,         1,      13,       2,Picarro IAEA,       0,       1
    69,   P-31858,   2022/11/02 00:32:14,           1-13,       3,         0.856,        -0.895,       -11.827,         1.329,         21476,      -1,    1,     W-100 / NLGQLH_1_16_0 / 208 / 808 /,                          USGS45 Control,                 H2O, 1667374608.18,         0.196,         0.187,         0.391,         0.140,       149.689,         0.001,        -0.003,         2.389,        78.251,        26.599,         1.000,        73.137,         1.167,        -0.899,        0.0000,        0.0000,    0,        41.625,         1,      13,       2,Picarro IAEA,       0,       1
    70,   P-31858,   2022/11/02 00:41:17,           1-13,       4,         0.899,        -0.853,       -11.156,         1.349,         21436,       0,    1,     W-100 / NLGQLH_1_16_0 / 208 / 808 /,                          USGS45 Control,                 H2O, 1667375151.76,         0.174,         0.176,         0.365,         0.135,       150.315,         0.001,        -0.001,         2.373,        78.057,        26.640,         0.994,        72.976,         1.165,        -0.933,       -0.0000,       -0.0000,    0,        41.625,         1,      13,       2,Picarro IAEA,       0,       1
    71,   P-31858,   2022/11/02 00:50:19,           1-13,       5,         0.890,        -0.851,       -10.763,         1.339,         21449,       0,    1,     W-100 / NLGQLH_1_16_0 / 208 / 808 /,                          USGS45 Control,                 H2O, 1667375694.45,         0.202,         0.185,         0.354,         0.150,       151.492,         0.001,        -0.000,         2.400,        78.078,        26.633,         1.001,        73.166,         1.165,        -0.876,       -0.0000,       -0.0000,    0,        41.562,         1,      13,       2,Picarro IAEA,       0,       1
    72,   P-31858,   2022/11/02 00:59:22,           1-13,       6,         0.906,        -0.816,       -10.589,         1.337,         21417,       0,    1,     W-100 / NLGQLH_1_16_0 / 208 / 808 /,                          USGS45 Control,                 H2O, 1667376237.74,         0.203,         0.184,         0.333,         0.153,       146.715,         0.001,        -0.000,         2.339,        77.950,        26.694,         0.986,        72.777,         1.165,        -0.895,        0.0000,       -0.0000,    0,        41.625,         1,      13,       2,Picarro IAEA,       0,       1
    73,   P-31859,   2022/11/02 01:08:24,           1-14,       1,        -6.909,       -15.473,      -122.129,         1.301,         21488,      -1,    1,   W-81908 / NLGQLH_1_17_0 / 208 / 808 /,                                 OH-25 A,                 H2O, 1667376779.72,         0.195,         0.212,         0.403,         0.136,       148.961,         0.002,         0.004,         2.355,        78.252,        27.272,         0.971,        71.054,         1.165,        -0.895,       -0.0000,       -0.0000,    0,        41.688,         1,      14,       2,Picarro IAEA,       0,       1
    74,   P-31859,   2022/11/02 01:17:27,           1-14,       2,        -7.188,       -15.985,      -130.379,         1.295,         21440,      -1,    1,   W-81908 / NLGQLH_1_17_0 / 208 / 808 /,                                 OH-25 A,                 H2O, 1667377322.15,         0.194,         0.200,         0.485,         0.139,       148.728,         0.002,         0.006,         2.364,        78.001,        27.189,         0.973,        71.222,         1.167,        -0.801,        0.0000,        0.0000,    0,        41.562,         1,      14,       2,Picarro IAEA,       0,       1
    75,   P-31859,   2022/11/02 01:26:30,           1-14,       3,        -7.251,       -16.078,      -131.655,         1.281,         21441,      -1,    1,   W-81908 / NLGQLH_1_17_0 / 208 / 808 /,                                 OH-25 A,                 H2O, 1667377864.71,         0.205,         0.196,         0.508,         0.148,       151.754,         0.001,         0.006,         2.399,        77.993,        27.169,         0.979,        71.354,         1.164,        -0.812,        0.0000,        0.0000,    0,        41.562,         1,      14,       2,Picarro IAEA,       0,       1
    76,   P-31859,   2022/11/02 01:35:33,           1-14,       4,        -7.242,       -16.092,      -132.187,         1.297,         21395,       0,    1,   W-81908 / NLGQLH_1_17_0 / 208 / 808 /,                                 OH-25 A,                 H2O, 1667378407.45,         0.174,         0.176,         0.410,         0.124,       148.841,         0.002,         0.004,         2.357,        77.828,        27.136,         0.969,        70.911,         1.165,        -0.893,        0.0000,        0.0000,    0,        41.688,         1,      14,       2,Picarro IAEA,       0,       1
    77,   P-31859,   2022/11/02 01:44:35,           1-14,       5,        -7.292,       -16.134,      -132.417,         1.270,         21411,       0,    1,   W-81908 / NLGQLH_1_17_0 / 208 / 808 /,                                 OH-25 A,                 H2O, 1667378949.81,         0.199,         0.200,         0.447,         0.148,       148.838,         0.002,         0.005,         2.371,        77.805,        27.088,         0.987,        71.760,         1.164,        -0.715,        0.0000,        0.0000,    0,        41.625,         1,      14,       2,Picarro IAEA,       0,       1
    78,   P-31859,   2022/11/02 01:53:37,           1-14,       6,        -7.240,       -16.094,      -132.595,         1.301,         21408,       0,    1,   W-81908 / NLGQLH_1_17_0 / 208 / 808 /,                                 OH-25 A,                 H2O, 1667379492.74,         0.182,         0.190,         0.392,         0.138,       147.687,         0.002,         0.004,         2.352,        77.906,        26.926,         0.987,        71.608,         1.165,        -0.821,        0.0000,        0.0000,    0,        41.625,         1,      14,       2,Picarro IAEA,       0,       1
    79,   P-31860,   2022/11/02 02:02:39,           1-15,       1,        -4.190,       -10.372,       -84.432,         1.306,         21566,      -1,    1,   W-81909 / NLGQLH_1_21_0 / 208 / 808 /,                                 OH-26 A,                 H2O, 1667380035.02,         0.183,         0.183,         0.380,         0.140,       146.750,         0.001,         0.003,         2.343,        78.545,        27.124,         0.990,        72.242,         1.166,        -0.861,       -0.0000,        0.0000,    0,        41.625,         1,      15,       2,Picarro IAEA,       0,       1
    80,   P-31860,   2022/11/02 02:11:42,           1-15,       2,        -4.056,       -10.157,       -80.864,         1.326,         21446,      -1,    1,   W-81909 / NLGQLH_1_21_0 / 208 / 808 /,                                 OH-26 A,                 H2O, 1667380577.70,         0.190,         0.186,         0.342,         0.137,       148.409,         0.001,         0.001,         2.361,        78.072,        26.967,         0.985,        71.782,         1.166,        -0.888,       -0.0000,        0.0000,    0,        41.625,         1,      15,       2,Picarro IAEA,       0,       1
    81,   P-31860,   2022/11/02 02:20:44,           1-15,       3,        -4.062,       -10.156,       -80.373,         1.319,         21429,      -1,    1,   W-81909 / NLGQLH_1_21_0 / 208 / 808 /,                                 OH-26 A,                 H2O, 1667381119.58,         0.187,         0.191,         0.384,         0.145,       148.565,         0.002,         0.001,         2.347,        77.990,        26.922,         0.981,        71.907,         1.165,        -0.866,        0.0000,        0.0000,    0,        41.688,         1,      15,       2,Picarro IAEA,       0,       1
    82,   P-31860,   2022/11/02 02:29:47,           1-15,       4,        -4.039,       -10.139,       -80.187,         1.333,         21390,       0,    1,   W-81909 / NLGQLH_1_21_0 / 208 / 808 /,                                 OH-26 A,                 H2O, 1667381662.23,         0.187,         0.190,         0.325,         0.142,       146.773,         0.002,         0.001,         2.339,        77.854,        26.819,         0.981,        71.711,         1.166,        -0.898,       -0.0000,        0.0000,    0,        41.625,         1,      15,       2,Picarro IAEA,       0,       1
    83,   P-31860,   2022/11/02 02:38:49,           1-15,       5,        -4.049,       -10.134,       -80.168,         1.321,         21335,       0,    1,   W-81909 / NLGQLH_1_21_0 / 208 / 808 /,                                 OH-26 A,                 H2O, 1667382204.28,         0.201,         0.202,         0.345,         0.134,       148.389,         0.002,         0.002,         2.343,        77.629,        26.870,         0.963,        71.218,         1.165,        -0.979,        0.0000,        0.0000,    0,        41.625,         1,      15,       2,Picarro IAEA,       0,       1
    84,   P-31860,   2022/11/02 02:47:51,           1-15,       6,        -4.054,       -10.153,       -79.909,         1.326,         21488,       0,    1,   W-81909 / NLGQLH_1_21_0 / 208 / 808 /,                                 OH-26 A,                 H2O, 1667382745.78,         0.192,         0.191,         0.358,         0.134,       150.222,         0.002,         0.002,         2.377,        78.197,        27.026,         0.989,        72.096,         1.163,        -0.838,       -0.0000,        0.0000,    0,        41.562,         1,      15,       2,Picarro IAEA,       0,       1
    85,   P-31861,   2022/11/02 02:56:53,           1-16,       1,        -7.118,       -15.856,      -128.276,         1.296,         21421,      -1,    1,   W-81930 / NLGQLH_1_22_0 / 208 / 808 /,                                 OH-25 C,                 H2O, 1667383288.11,         0.187,         0.200,         0.358,         0.139,       148.123,         0.002,         0.003,         2.354,        77.980,        27.145,         0.964,        70.976,         1.165,        -0.933,        0.0000,        0.0000,    0,        41.625,         1,      16,       2,Picarro IAEA,       0,       1
    86,   P-31861,   2022/11/02 03:05:55,           1-16,       2,        -7.248,       -16.100,      -131.910,         1.296,         21385,      -1,    1,   W-81930 / NLGQLH_1_22_0 / 208 / 808 /,                                 OH-25 C,                 H2O, 1667383830.80,         0.190,         0.198,         0.454,         0.143,       148.567,         0.002,         0.006,         2.350,        77.745,        27.057,         0.977,        71.353,         1.165,        -0.818,       -0.0000,        0.0000,    0,        41.688,         1,      16,       2,Picarro IAEA,       0,       1
    87,   P-31861,   2022/11/02 03:14:57,           1-16,       3,        -7.273,       -16.138,      -132.425,         1.291,         21422,      -1,    1,   W-81930 / NLGQLH_1_22_0 / 208 / 808 /,                                 OH-25 C,                 H2O, 1667384373.03,         0.199,         0.199,         0.426,         0.139,       146.343,         0.002,         0.004,         2.338,        77.910,        27.148,         0.977,        71.189,         1.165,        -0.874,       -0.0000,       -0.0000,    0,        41.688,         1,      16,       2,Picarro IAEA,       0,       1
    88,   P-31861,   2022/11/02 03:24:00,           1-16,       4,        -7.263,       -16.112,      -132.679,         1.287,         21417,       0,    1,   W-81930 / NLGQLH_1_22_0 / 208 / 808 /,                                 OH-25 C,                 H2O, 1667384915.36,         0.185,         0.196,         0.389,         0.131,       147.367,         0.002,         0.004,         2.348,        77.896,        27.196,         0.970,        71.036,         1.166,        -0.843,        0.0000,       -0.0000,    0,        41.688,         1,      16,       2,Picarro IAEA,       0,       1
    89,   P-31861,   2022/11/02 03:33:02,           1-16,       5,        -7.248,       -16.136,      -132.786,         1.315,         21374,       0,    1,   W-81930 / NLGQLH_1_22_0 / 208 / 808 /,                                 OH-25 C,                 H2O, 1667385458.10,         0.203,         0.204,         0.439,         0.147,       146.359,         0.002,         0.005,         2.333,        77.747,        27.068,         0.969,        70.747,         1.166,        -0.914,        0.0000,        0.0000,    0,        41.750,         1,      16,       2,Picarro IAEA,       0,       1
    90,   P-31861,   2022/11/02 03:42:05,           1-16,       6,        -7.264,       -16.142,      -132.869,         1.302,         21420,       0,    1,   W-81930 / NLGQLH_1_22_0 / 208 / 808 /,                                 OH-25 C,                 H2O, 1667386000.51,         0.203,         0.214,         0.371,         0.144,       147.175,         0.002,         0.003,         2.336,        77.924,        27.068,         0.972,        71.261,         1.167,        -0.879,        0.0000,        0.0000,    0,        41.688,         1,      16,       2,Picarro IAEA,       0,       1
    91,   P-31862,   2022/11/02 03:51:07,           1-17,       1,        -2.853,        -7.857,       -68.797,         1.308,         21547,      -1,    1,      W-31 / NLGQLH_1_23_0 / 208 / 808 /,                            W-31 Control,                 H2O, 1667386542.62,         0.193,         0.188,         0.359,         0.134,       149.507,         0.001,         0.001,         2.362,        78.443,        27.077,         0.989,        72.448,         1.164,        -0.862,       -0.0000,        0.0000,    0,        41.750,         1,      17,       2,Picarro IAEA,       0,       1
    92,   P-31862,   2022/11/02 04:00:10,           1-17,       2,        -2.677,        -7.560,       -64.001,         1.326,         21365,      -1,    1,      W-31 / NLGQLH_1_23_0 / 208 / 808 /,                            W-31 Control,                 H2O, 1667387085.67,         0.197,         0.182,         0.342,         0.142,       149.423,         0.001,        -0.001,         2.366,        77.697,        26.736,         0.985,        72.053,         1.164,        -0.863,        0.0000,        0.0000,    0,        41.625,         1,      17,       2,Picarro IAEA,       0,       1
    93,   P-31862,   2022/11/02 04:09:12,           1-17,       3,        -2.661,        -7.514,       -63.174,         1.318,         21461,      -1,    1,      W-31 / NLGQLH_1_23_0 / 208 / 808 /,                            W-31 Control,                 H2O, 1667387627.14,         0.199,         0.185,         0.338,         0.142,       151.544,         0.001,         0.000,         2.390,        78.094,        26.817,         0.992,        72.598,         1.165,        -0.837,        0.0000,        0.0000,    0,        41.625,         1,      17,       2,Picarro IAEA,       0,       1
    94,   P-31862,   2022/11/02 04:18:14,           1-17,       4,        -2.659,        -7.523,       -62.977,         1.325,         21411,       0,    1,      W-31 / NLGQLH_1_23_0 / 208 / 808 /,                            W-31 Control,                 H2O, 1667388169.17,         0.203,         0.194,         0.322,         0.153,       147.691,         0.002,         0.002,         2.358,        77.862,        26.933,         0.991,        71.932,         1.166,        -0.790,       -0.0000,       -0.0000,    0,        41.688,         1,      17,       2,Picarro IAEA,       0,       1
    95,   P-31862,   2022/11/02 04:27:16,           1-17,       5,        -2.677,        -7.553,       -62.857,         1.323,         21382,       0,    1,      W-31 / NLGQLH_1_23_0 / 208 / 808 /,                            W-31 Control,                 H2O, 1667388710.93,         0.209,         0.199,         0.294,         0.140,       145.743,         0.002,         0.001,         2.330,        77.677,        26.827,         0.996,        72.371,         1.162,        -0.764,        0.0000,       -0.0000,    0,        41.750,         1,      17,       2,Picarro IAEA,       0,       1
    96,   P-31862,   2022/11/02 04:36:19,           1-17,       6,        -2.631,        -7.473,       -62.644,         1.326,         21448,       0,    1,      W-31 / NLGQLH_1_23_0 / 208 / 808 /,                            W-31 Control,                 H2O, 1667389254.11,         0.200,         0.176,         0.336,         0.157,       146.952,         0.002,         0.001,         2.322,        78.042,        26.871,         0.992,        72.187,         1.165,        -0.882,        0.0000,        0.0000,    0,        41.688,         1,      17,       2,Picarro IAEA,       0,       1
    97,   P-31863,   2022/11/02 04:45:21,           1-18,       1,        -3.824,        -6.727,       -51.031,        -0.268,         21491,      -1,    1,   W-81922 / NLGQLH_1_24_0 / 208 / 808 /,                                 OH-28 B,                 H2O, 1667389795.68,         0.191,         0.196,         0.359,         0.136,       150.316,         0.002,         0.000,         2.378,        78.229,        26.823,         0.995,        72.695,         1.164,        -0.875,       -0.0000,        0.0000,    0,        41.688,         1,      18,       2,Picarro IAEA,       0,       1
    98,   P-31863,   2022/11/02 04:54:22,           1-18,       2,        -3.843,        -6.693,       -50.135,        -0.305,         21418,      -1,    1,   W-81922 / NLGQLH_1_24_0 / 208 / 808 /,                                 OH-28 B,                 H2O, 1667390336.83,         0.181,         0.193,         0.325,         0.132,       148.949,         0.002,         0.001,         2.374,        77.926,        26.826,         0.989,        72.188,         1.167,        -0.902,       -0.0000,        0.0000,    0,        41.625,         1,      18,       2,Picarro IAEA,       0,       1
    99,   P-31863,   2022/11/02 05:03:25,           1-18,       3,        -3.883,        -6.701,       -49.913,        -0.340,         21430,      -1,    1,   W-81922 / NLGQLH_1_24_0 / 208 / 808 /,                                 OH-28 B,                 H2O, 1667390880.33,         0.206,         0.200,         0.342,         0.151,       145.280,         0.002,         0.001,         2.321,        77.973,        26.817,         0.984,        72.360,         1.164,        -0.910,       -0.0000,        0.0000,    0,        41.688,         1,      18,       2,Picarro IAEA,       0,       1
   100,   P-31863,   2022/11/02 05:12:26,           1-18,       4,        -3.893,        -6.728,       -49.912,        -0.336,         21380,       0,    1,   W-81922 / NLGQLH_1_24_0 / 208 / 808 /,                                 OH-28 B,                 H2O, 1667391422.01,         0.199,         0.198,         0.307,         0.141,       147.553,         0.002,         0.001,         2.330,        77.731,        26.592,         0.995,        72.784,         1.166,        -0.829,       -0.0000,        0.0000,    0,        41.688,         1,      18,       2,Picarro IAEA,       0,       1
   101,   P-31863,   2022/11/02 05:21:29,           1-18,       5,        -3.862,        -6.688,       -49.781,        -0.326,         21374,       0,    1,   W-81922 / NLGQLH_1_24_0 / 208 / 808 /,                                 OH-28 B,                 H2O, 1667391963.39,         0.222,         0.208,         0.348,         0.157,       149.387,         0.002,         0.001,         2.373,        77.756,        26.799,         0.983,        71.841,         1.164,        -0.899,        0.0000,        0.0000,    0,        41.688,         1,      18,       2,Picarro IAEA,       0,       1
   102,   P-31863,   2022/11/02 05:30:31,           1-18,       6,        -3.862,        -6.698,       -49.818,        -0.322,         21386,       0,    1,   W-81922 / NLGQLH_1_24_0 / 208 / 808 /,                                 OH-28 B,                 H2O, 1667392506.94,         0.182,         0.185,         0.318,         0.136,       146.761,         0.002,         0.000,         2.330,        77.802,        26.670,         0.988,        72.410,         1.162,        -0.874,        0.0000,        0.0000,    0,        41.688,         1,      18,       2,Picarro IAEA,       0,       1
   103,   P-31864,   2022/11/02 05:39:34,           1-19,       1,       -11.419,       -23.634,      -183.092,         1.144,         21405,      -1,    1,   W-81910 / NLGQLH_1_25_0 / 208 / 808 /,                                 OH-27 A,                 H2O, 1667393049.48,         0.182,         0.211,         0.489,         0.139,       146.559,         0.002,         0.006,         2.333,        77.727,        27.542,         0.964,        70.320,         1.165,        -0.742,        0.0000,        0.0000,    0,        41.688,         1,      19,       2,Picarro IAEA,       0,       1
   104,   P-31864,   2022/11/02 05:48:36,           1-19,       2,       -11.639,       -24.208,      -193.106,         1.231,         21426,      -1,    1,   W-81910 / NLGQLH_1_25_0 / 208 / 808 /,                                 OH-27 A,                 H2O, 1667393591.80,         0.190,         0.198,         0.625,         0.129,       145.798,         0.002,         0.009,         2.326,        77.873,        27.481,         0.962,        70.165,         1.165,        -0.830,        0.0000,        0.0000,    0,        41.750,         1,      19,       2,Picarro IAEA,       0,       1
   105,   P-31864,   2022/11/02 05:57:39,           1-19,       3,       -11.682,       -24.307,      -194.805,         1.242,         21408,      -1,    1,   W-81910 / NLGQLH_1_25_0 / 208 / 808 /,                                 OH-27 A,                 H2O, 1667394134.30,         0.186,         0.199,         0.588,         0.134,       146.145,         0.002,         0.008,         2.330,        77.815,        27.486,         0.955,        69.994,         1.164,        -0.850,        0.0000,        0.0000,    0,        41.688,         1,      19,       2,Picarro IAEA,       0,       1
   106,   P-31864,   2022/11/02 06:06:42,           1-19,       4,       -11.701,       -24.346,      -195.464,         1.244,         21416,       0,    1,   W-81910 / NLGQLH_1_25_0 / 208 / 808 /,                                 OH-27 A,                 H2O, 1667394676.96,         0.189,         0.194,         0.546,         0.138,       148.258,         0.002,         0.008,         2.354,        77.891,        27.488,         0.954,        69.795,         1.167,        -0.868,       -0.0000,        0.0000,    0,        41.688,         1,      19,       2,Picarro IAEA,       0,       1
   107,   P-31864,   2022/11/02 06:15:44,           1-19,       5,       -11.714,       -24.380,      -195.851,         1.249,         21361,       0,    1,   W-81910 / NLGQLH_1_25_0 / 208 / 808 /,                                 OH-27 A,                 H2O, 1667395218.61,         0.204,         0.192,         0.497,         0.152,       148.753,         0.002,         0.006,         2.366,        77.618,        27.477,         0.954,        69.774,         1.164,        -0.832,        0.0000,        0.0000,    0,        41.688,         1,      19,       2,Picarro IAEA,       0,       1
   108,   P-31864,   2022/11/02 06:24:46,           1-19,       6,       -11.715,       -24.381,      -196.038,         1.249,         21422,       0,    1,   W-81910 / NLGQLH_1_25_0 / 208 / 808 /,                                 OH-27 A,                 H2O, 1667395761.75,         0.188,         0.200,         0.494,         0.142,       146.930,         0.002,         0.006,         2.345,        77.877,        27.511,         0.960,        70.005,         1.164,        -0.777,        0.0000,        0.0000,    0,        41.688,         1,      19,       2,Picarro IAEA,       0,       1
   109,   P-31865,   2022/11/02 06:33:50,           1-20,       1,              ,              ,              ,              ,              ,        ,     ,        W-3 / NLGQLH_1_7_7 / 208 / 808 /,                                DIW Wash,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,         1,      20,       2,Picarro IAEA,      80,       1
   110,   P-31865,   2022/11/02 06:43:59,           1-20,       2,              ,              ,              ,              ,              ,        ,     ,        W-3 / NLGQLH_1_7_7 / 208 / 808 /,                                DIW Wash,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,         1,      20,       2,Picarro IAEA,      80,       1
   111,   P-31865,   2022/11/02 06:54:07,           1-20,       3,              ,              ,              ,              ,              ,        ,     ,        W-3 / NLGQLH_1_7_7 / 208 / 808 /,                                DIW Wash,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,         1,      20,       2,Picarro IAEA,      80,       1
   112,   P-31865,   2022/11/02 07:04:16,           1-20,       4,              ,              ,              ,              ,              ,        ,     ,        W-3 / NLGQLH_1_7_7 / 208 / 808 /,                                DIW Wash,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,         1,      20,       2,Picarro IAEA,      80,       1
   113,   P-31865,   2022/11/02 07:14:24,           1-20,       5,              ,              ,              ,              ,              ,        ,     ,        W-3 / NLGQLH_1_7_7 / 208 / 808 /,                                DIW Wash,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,         1,      20,       2,Picarro IAEA,      80,       1
   114,   P-31866,   2022/11/02 07:24:33,           1-02,       1,              ,              ,              ,              ,              ,        ,     ,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,         1,       2,       3,Picarro IAEA,      80,       1
   115,   P-31866,   2022/11/02 07:34:39,           1-02,       2,         0.485,        -1.650,       -15.687,         1.356,         21126,      -1,    1,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O, 1667399954.59,         0.185,         0.178,         0.377,         0.137,       131.327,         0.001,        -0.001,         2.066,        76.716,        26.255,         0.985,        71.717,         1.167,        -0.847,       -0.0000,        0.0000,    0,        41.750,         1,       2,       3,Picarro IAEA,       0,       1
   116,   P-31866,   2022/11/02 07:43:41,           1-02,       3,         0.863,        -0.930,        -4.881,         1.354,         21267,      -1,    1,       W-52 / NLGQLH_1_2_1 / 208 / 808 /,                             W-52 USGS48,                 H2O, 1667400496.15,         0.199,         0.186,         0.406,         0.149,       139.838,         0.001,        -0.004,         2.202,        77.291,        26.361,         0.990,        72.416,         1.163,        -0.914,       -0.0000,        0.0000,    0,        41.750,         1,       2,       3,Picarro IAEA,       0,       1
